iter	RMSE
0	4501933.379
1	4272033.862
2	4074725.741
3	3906468.011
4	3756498.978
5	3625380.525
6	3513023.665
7	3420450.67
8	3334004.415
9	3259881.144
10	3192079.316
11	3139789.638
12	3091069.266
13	3046368.023
14	3010360.135
15	2978256.523
16	2944788.708
17	2914032.489
18	2891552.996
19	2871593.816
20	2849987.77
21	2827865.517
22	2814104.665
23	2799248.057
24	2786087.355
25	2775169.171
26	2761675.433
27	2749914.025
28	2739374.966
29	2728942.234
30	2719695.128
31	2707957.114
32	2699459.793
33	2693873.001
34	2688629.666
35	2681851.144
36	2674305.24
37	2668120.956
38	2661073.501
39	2656687.888
40	2652109.523
41	2647713.625
42	2643563.057
43	2637839.923
44	2630867.375
45	2627832.237
46	2624801.53
47	2621100.189
48	2618586.746
49	2615978.764
50	2613740.908
51	2610736.821
52	2609045.483
53	2606377.193
54	2603521.494
55	2600971.03
56	2599260.407
57	2597545.024
58	2594445.504
59	2593012.797
60	2590576.116
61	2588824.403
62	2584684.269
63	2583032.024
64	2578553.57
65	2577429.282
66	2575766.223
67	2574065.628
68	2571625.155
69	2569896.043
70	2568662.86
71	2566889.203
72	2565732.813
73	2563585.1
74	2562401.978
75	2561235.494
76	2560439.054
77	2558219.42
78	2556980.56
79	2555872.751
80	2554301.099
81	2553116.781
82	2551544.224
83	2548600.064
84	2545754.825
85	2544930.377
86	2544341.201
87	2543494.854
88	2541610.492
89	2540814.894
90	2540196.663
91	2537951.664
92	2536402.388
93	2535078.974
94	2534009.25
95	2531859.458
96	2531164.336
97	2530541.966
98	2528410.341
99	2527187.186
100	2525689.395
101	2524991.279
102	2523934.373
103	2523181.262
104	2521864.136
105	2521010.089
106	2519440.273
107	2518538.664
108	2517445.37
109	2516070.199
110	2515887.867
111	2514689.619
112	2513912.579
113	2513078.584
114	2512438.101
115	2511855.131
116	2511190.164
117	2510606.055
118	2510009.447
119	2509097.271
120	2508737.425
121	2507937.315
122	2507172.706
123	2506332.1
124	2505504.449
125	2504895.704
126	2504764.967
127	2503124.628
128	2502273.851
129	2501617.41
130	2500147.219
131	2498471.468
132	2497943.183
133	2497139.859
134	2495843.365
135	2495071.945
136	2494366.537
137	2493996.87
138	2493413.639
139	2492589.299
140	2491811.735
141	2491242.636
142	2490348.916
143	2489544.927
144	2488802.493
145	2488016.765
146	2487229.693
147	2486971.914
148	2486112.971
149	2485466.084
150	2484861.626
151	2484300.408
152	2483649.702
153	2482956.827
154	2482487.274
155	2482065.722
156	2481590.443
157	2481050.294
158	2480429.842
159	2479721.372
160	2479062.169
161	2478466.393
162	2477820.586
163	2477079.494
164	2476671.48
165	2475741.685
166	2474922.36
167	2474074.688
168	2473592.576
169	2473337.136
170	2472988.159
171	2472535.485
172	2472143.841
173	2471772.935
174	2471270.514
175	2470850.849
176	2470525.423
177	2469948.997
178	2469592.6
179	2468583.312
180	2467820.987
181	2466820.708
182	2466144.165
183	2465826.289
184	2465409.225
185	2464667.73
186	2464008.686
187	2463411.087
188	2462847.986
189	2462592.273
190	2461804.607
191	2461337.001
192	2460716.672
193	2460193.174
194	2459519.434
195	2459035.152
196	2458508.729
197	2458076.135
198	2457464.789
199	2456978.889
200	2456628.443
201	2456050.615
202	2455208.533
203	2454636.647
204	2453915.922
205	2453224.732
206	2452822.226
207	2452469.53
208	2451837.202
209	2451542.161
210	2451066.627
211	2450589.109
212	2449583.113
213	2448980.955
214	2448130.092
215	2447463.406
216	2446514.885
217	2445889.668
218	2445317.759
219	2444607.237
220	2443994.89
221	2443211.911
222	2442735.024
223	2442233.255
224	2441919.808
225	2441568.292
226	2441268.31
227	2440864.96
228	2440459.732
229	2439984.485
230	2439591.525
231	2439266.61
232	2438653.516
233	2437805.292
234	2437352.027
235	2436762.488
236	2436405.819
237	2435795.822
238	2435260.96
239	2435199.461
240	2434848.482
241	2434158.327
242	2433614.335
243	2433098.17
244	2432640.975
245	2432112.264
246	2431536.336
247	2431273.026
248	2430874.382
249	2430674.578
250	2430429.846
251	2430077.834
252	2429822.418
253	2429598.948
254	2429079.869
255	2428601.227
256	2428583.06
257	2428200.501
258	2427948.324
259	2427540.022
260	2427058.214
261	2426819.37
262	2426255.596
263	2426027.077
264	2425331.853
265	2424861.064
266	2424741.573
267	2424591.249
268	2424328.828
269	2424072.91
270	2423628.373
271	2423251.21
272	2422793.464
273	2422071.479
274	2421724.115
275	2421129.289
276	2420755.724
277	2420206.421
278	2419605.748
279	2419422.303
280	2418991.094
281	2418656.344
282	2418404.756
283	2418378.672
284	2417969.581
285	2417820.768
286	2417292.932
287	2416871.318
288	2416523.372
289	2416286.104
290	2415820.905
291	2415387.808
292	2415346.671
293	2415105.536
294	2414664.639
295	2414247.143
296	2414079.702
297	2413277.186
298	2412849.13
299	2412299.463
300	2411746.246
301	2411155.22
302	2410644.52
303	2410366.851
304	2409977.905
305	2409739.167
306	2409340.746
307	2408815.439
308	2408188.376
309	2407697.918
310	2407263.873
311	2406853.444
312	2406491.998
313	2406105.295
314	2406005.43
315	2405669.123
316	2405540.522
317	2405269.709
318	2405103.295
319	2404662.744
320	2404290.634
321	2403875.953
322	2403685.157
323	2403257.838
324	2402982.733
325	2402291.623
326	2401839.861
327	2401463.565
328	2401005.142
329	2400701.864
330	2400412.562
331	2400351.412
332	2400138.781
333	2399803.629
334	2399555.727
335	2399160.769
336	2398876.824
337	2398688.246
338	2398232.173
339	2397670.545
340	2397343.245
341	2397063.424
342	2396764.11
343	2396661.214
344	2396276.12
345	2396031.823
346	2395610.511
347	2395224.636
348	2394940.143
349	2394792.701
350	2394334.575
351	2393919.643
352	2393482.75
353	2392978.096
354	2392553.432
355	2392241.37
356	2391870.944
357	2391747.164
358	2391383.923
359	2391035.478
360	2390777.258
361	2390566.168
362	2390166.524
363	2389715.488
364	2389420.527
365	2389063.025
366	2388868.796
367	2388134.152
368	2387783.624
369	2387670.883
370	2387316.141
371	2386871.293
372	2386619.835
373	2386265.579
374	2385916.419
375	2385618.828
376	2385173.931
377	2384969.395
378	2384725.721
379	2384286.796
380	2383923.24
381	2383483.054
382	2382933.665
383	2382481.272
384	2382052.634
385	2381722.18
386	2381418.114
387	2381152.45
388	2380894.898
389	2380676.023
390	2380415.635
391	2379733.009
392	2379367.259
393	2379109.228
394	2378900.438
395	2378333.275
396	2378014.989
397	2377677.238
398	2377361.51
399	2377123.981
