iter	Passed	Remaining
0	60	24079
1	91	18142
2	121	16077
3	148	14722
4	173	13742
5	199	13115
6	223	12532
7	240	11783
8	258	11248
9	277	10827
10	302	10702
11	320	10374
12	337	10056
13	357	9867
14	373	9597
15	390	9375
16	407	9181
17	426	9052
18	443	8888
19	460	8750
20	478	8638
21	496	8537
22	520	8524
23	536	8410
24	553	8304
25	571	8213
26	589	8150
27	608	8084
28	623	7974
29	641	7907
30	658	7839
31	674	7759
32	692	7697
33	708	7627
34	724	7557
35	742	7504
36	758	7437
37	774	7379
38	794	7351
39	811	7301
40	828	7250
41	844	7202
42	861	7156
43	879	7113
44	901	7114
45	918	7072
46	935	7026
47	960	7041
48	977	7003
49	1004	7028
50	1032	7062
51	1061	7104
52	1084	7102
53	1112	7125
54	1136	7129
55	1165	7160
56	1187	7143
57	1213	7155
58	1249	7219
59	1276	7235
60	1315	7308
61	1347	7343
62	1377	7369
63	1413	7418
64	1448	7465
65	1476	7473
66	1510	7508
67	1542	7531
68	1569	7529
69	1595	7522
70	1623	7521
71	1651	7524
72	1675	7503
73	1699	7488
74	1725	7477
75	1748	7453
76	1775	7448
77	1798	7425
78	1824	7412
79	1847	7389
80	1867	7355
81	1895	7350
82	1915	7314
83	1936	7283
84	1958	7257
85	1979	7226
86	1995	7180
87	2013	7138
88	2031	7097
89	2049	7060
90	2068	7023
91	2086	6984
92	2104	6947
93	2121	6907
94	2142	6878
95	2162	6848
96	2179	6808
97	2196	6769
98	2215	6737
99	2233	6700
100	2251	6665
101	2268	6627
102	2285	6590
103	2302	6553
104	2317	6512
105	2335	6476
106	2355	6451
107	2372	6415
108	2389	6379
109	2407	6348
110	2425	6315
111	2445	6289
112	2463	6256
113	2480	6222
114	2498	6192
115	2516	6160
116	2534	6130
117	2553	6102
118	2574	6079
119	2597	6061
120	2617	6034
121	2637	6010
122	2661	5993
123	2679	5965
124	2699	5939
125	2717	5910
126	2736	5883
127	2759	5863
128	2777	5834
129	2797	5809
130	2823	5797
131	2848	5782
132	2865	5753
133	2885	5727
134	2904	5702
135	2924	5677
136	2944	5651
137	2963	5625
138	2981	5598
139	3000	5571
140	3017	5542
141	3036	5516
142	3054	5489
143	3073	5464
144	3094	5442
145	3117	5423
146	3141	5407
147	3159	5380
148	3180	5358
149	3201	5335
150	3221	5311
151	3246	5296
152	3266	5273
153	3286	5249
154	3303	5221
155	3321	5195
156	3341	5171
157	3362	5150
158	3385	5131
159	3408	5113
160	3428	5089
161	3448	5065
162	3467	5041
163	3488	5019
164	3509	4998
165	3528	4973
166	3547	4949
167	3568	4927
168	3586	4902
169	3604	4876
170	3624	4853
171	3644	4830
172	3661	4805
173	3680	4780
174	3703	4761
175	3722	4737
176	3741	4713
177	3759	4689
178	3778	4665
179	3800	4645
180	3823	4625
181	3848	4610
182	3892	4615
183	3919	4601
184	3942	4581
185	3965	4562
186	3986	4540
187	4016	4529
188	4036	4506
189	4053	4480
190	4072	4456
191	4090	4431
192	4111	4409
193	4129	4384
194	4151	4364
195	4171	4341
196	4200	4328
197	4222	4307
198	4245	4288
199	4266	4266
200	4291	4248
201	4314	4229
202	4337	4208
203	4354	4184
204	4377	4163
205	4398	4142
206	4421	4122
207	4445	4103
208	4465	4080
209	4486	4059
210	4505	4035
211	4524	4012
212	4543	3989
213	4566	3969
214	4588	3948
215	4608	3926
216	4628	3903
217	4651	3883
218	4673	3862
219	4696	3842
220	4721	3824
221	4749	3808
222	4772	3788
223	4795	3768
224	4814	3744
225	4833	3721
226	4850	3696
227	4868	3672
228	4887	3649
229	4910	3629
230	4928	3605
231	4948	3583
232	4968	3560
233	4987	3538
234	5009	3517
235	5029	3495
236	5048	3472
237	5072	3452
238	5104	3438
239	5131	3421
240	5158	3403
241	5180	3382
242	5203	3361
243	5230	3344
244	5256	3325
245	5286	3309
246	5316	3293
247	5348	3278
248	5370	3256
249	5387	3232
250	5415	3214
251	5436	3193
252	5460	3172
253	5480	3150
254	5499	3127
255	5522	3106
256	5539	3082
257	5561	3060
258	5585	3040
259	5612	3022
260	5635	3001
261	5659	2981
262	5684	2960
263	5712	2943
264	5742	2925
265	5772	2907
266	5794	2886
267	5812	2862
268	5832	2840
269	5854	2818
270	5874	2796
271	5895	2774
272	5917	2752
273	5943	2733
274	5974	2715
275	6003	2697
276	6022	2674
277	6041	2651
278	6062	2629
279	6082	2606
280	6101	2584
281	6123	2562
282	6141	2538
283	6160	2516
284	6182	2494
285	6199	2471
286	6217	2448
287	6240	2427
288	6258	2403
289	6278	2381
290	6296	2358
291	6315	2335
292	6395	2335
293	6446	2324
294	6490	2310
295	6508	2286
296	6525	2263
297	6545	2240
298	6569	2219
299	6590	2196
300	6613	2175
301	6634	2152
302	6655	2130
303	6675	2108
304	6700	2087
305	6722	2065
306	6742	2042
307	6766	2021
308	6785	1998
309	6806	1976
310	6828	1954
311	6846	1930
312	6864	1908
313	6883	1885
314	6900	1862
315	6919	1839
316	6938	1816
317	6956	1793
318	6976	1771
319	6995	1748
320	7014	1726
321	7035	1704
322	7053	1681
323	7073	1659
324	7091	1636
325	7111	1614
326	7130	1591
327	7149	1569
328	7169	1547
329	7186	1524
330	7206	1502
331	7222	1479
332	7245	1457
333	7263	1435
334	7281	1412
335	7299	1390
336	7320	1368
337	7341	1346
338	7362	1324
339	7382	1302
340	7414	1282
341	7442	1262
342	7482	1243
343	7523	1224
344	7554	1204
345	7584	1183
346	7625	1164
347	7672	1146
348	7710	1126
349	7750	1107
350	7783	1086
351	7811	1065
352	7835	1043
353	7854	1020
354	7891	1000
355	7918	978
356	7942	956
357	7967	934
358	7994	913
359	8021	891
360	8047	869
361	8075	847
362	8099	825
363	8118	802
364	8137	780
365	8156	757
366	8187	736
367	8208	713
368	8228	691
369	8251	669
370	8270	646
371	8291	624
372	8317	602
373	8337	579
374	8356	557
375	8377	534
376	8399	512
377	8421	490
378	8447	468
379	8471	445
380	8496	423
381	8523	401
382	8551	379
383	8580	357
384	8612	335
385	8633	313
386	8656	290
387	8677	268
388	8704	246
389	8729	223
390	8752	201
391	8775	179
392	8800	156
393	8822	134
394	8843	111
395	8864	89
396	8893	67
397	8932	44
398	8955	22
399	8980	0
